,Commodity,Time,Country,Customs Value (Gen) ($US),Customs  Value (Cons) ($US),Dutiable Value ($US),Calculated Duty ($US),Customs Value (Cons) ($US),code,year,month
49305,"6104220060 W/g Ensembles Of Blouses Shirts Tops Of Cot, Knit (doz)",March 2018,China,126846,,0,0,0,6104220060,2018,March
49313,"6104220080 W/g Ensembles Of Sweaters Of Cotton, Knit (doz)",January 2018,China,148649,,0,0,0,6104220080,2018,January
49314,"6104220080 W/g Ensembles Of Sweaters Of Cotton, Knit (doz)",June 2018,China,162068,,0,0,0,6104220080,2018,June
49315,"6104220080 W/g Ensembles Of Sweaters Of Cotton, Knit (doz)",October 2018,China,77922,,0,0,0,6104220080,2018,October
49318,"6104230010 W/g Ens Ovrcts Jckts Etc Syn Fib Gt=23% Wl, Knit (doz)",October 2018,China,108000,,0,0,0,6104230010,2018,October
49319,"6104230016 W/g Ens Trousers Of Syn Fib 23% More Wool, Knit (doz)",August 2018,China,77256,,0,0,0,6104230016,2018,August
49345,"6104230042 W/g Ens Nesoi Of Other Synthetic Fibers, Knit (doz)",April 2018,China,318159,,0,0,0,6104230042,2018,April
49350,"6104230042 W/g Ens Nesoi Of Other Synthetic Fibers, Knit (doz)",November 2018,China,34344,,0,0,0,6104230042,2018,November
49351,"6104230042 W/g Ens Nesoi Of Other Synthetic Fibers, Knit (doz)",December 2018,China,35191,,0,0,0,6104230042,2018,December
49352,"6104290560 W/g Ensembles Of Blouses And Shirts Of Wool, Knit (doz)",August 2018,China,76954,,0,0,0,6104290560,2018,August
49362,"6104291050 W/g Ens Of Blouses & Tops Of Artificial Fibs, Knit (doz)",May 2018,China,86184,,0,0,0,6104291050,2018,May
49363,"6104291050 W/g Ens Of Blouses & Tops Of Artificial Fibs, Knit (doz)",July 2018,China,60322,,0,0,0,6104291050,2018,July
49368,"6104292034 W/g Ens Trouser Ot Textile Mat Subj Cot Res, Knit (doz)",September 2018,China,125892,,0,0,0,6104292034,2018,September
52347,6110302053 M/b Sweatshirt Man-made Fiber 30% Silk Knit Nesoi (doz),August 2018,China,58737,,0,0,0,6110302053,2018,August
52665,"6110909028 W/g Sweaters Of Oth Textile Mat Subj Wool Res,knit (doz)",December 2018,China,317,,0,0,0,6110909028,2018,December
53400,6112194050 M/b Kt Track Suts Trsrs Oth Tex Mat Cont 70% Silk (doz),August 2018,China,185847,,0,0,0,6112194050,2018,August
56288,"6202921231 Girls' Anorak & Smlr Article Cotton Corduroy, Rpo (doz)",September 2018,China,2570,,0,0,0,6202921231,2018,September
56434,"6202930521 Girls' Anorak & Smlr Articl mmf Gt=36% Wool,  Rpo (doz)",August 2018,China,10408,,0,0,0,6202930521,2018,August
56808,6203223015 M/b Jackets/blazers Of Heading 6203 Of Cot Not Knt (doz),November 2018,China,39864,,0,0,0,6203223015,2018,November
56815,"6203230055 M/b Ens Of Hdng 6203 Syn Fib Lt 36% W/fah, Nt Kn (doz)",November 2018,China,1874,,0,0,0,6203230055,2018,November
